Feature_ID,Smiles,IUPAC name,ID level,Compound_Class
1801.75_178.0553_NILU_2,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2,Phenanthrene,1.0,BTEX / Monoaromatics
1810.29_105.0673_NILU_2,CCCCCCCCCCC(C)C1=CC=CC=C1,(Dodecan-2-yl)benzene,2.0,BTEX / Monoaromatics
1818.3_178.0553_NILU_2,C1=CC2=CC3=C(C=CC=C3)C=C2C=C1,Anthracene,1.0,BTEX / Monoaromatics
1821.78_61.0283_NILU_2,CCCCCCCCCCCCCC(=O)OC(C)C,Propan-2-yl tetradecanoate,2.0,Fatty acid esters
1860.1_167.0495_NILU_2,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,"4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene",2.0,BTEX / Monoaromatics
1872.9_119.0846_NILU_2,CCCCCCCCCCC(CC)C1=CC=CC=C1,(Tridecan-3-yl)benzene,2.0,BTEX / Monoaromatics
1876.73_84.0919_NILU_2,CCCCCCCCC(C)OC(=O)C1=CC=CC=C1,decan-2-yl benzoate,2.0,Phthalates / Aromatic esters
1889.45_243.1736_NILU_2,OC1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,Benzyl 2-hydroxybenzoate,2.0,Phthalates / Aromatic esters
1898.93_85.1007_NILU_2,CCCCCCCCCCCCCCCCCCCC,Icosane,1.0,Alkanes / Aliphatics
1899.41_113.1326_NILU_2,CCCCCCCCCCCCCCCCCCC,Nonadecane,1.0,Alkanes / Aliphatics
2000.49_71.0851_NILU_2,CCCCCCCCCCCCCCCCCCCCC,Henicosane,1.0,Alkanes / Aliphatics
2020.98_60.0207_NILU_2,CCCCCCCCCCCCCCCC(=O)OC(C)C,Propan-2-yl hexadecanoate,2.0,Fatty acid esters
2079.91_223.085_NILU_2,CCCCOC(=O)C1=CC=C(C=C1)C(=O)OCC(C)C,"1-O-butyl 4-O-(2-methylpropyl) benzene-1,4-dicarboxylate",2.0,Phthalates / Aromatic esters
2090.59_202.0542_NILU_2,C1=CC2=C(C=C1)C1=C3C2=CC=CC3=CC=C1,Fluoranthene,1.0,BTEX / Monoaromatics
2113_202.078_NILU_2,C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1,Pyrene,2.0,BTEX / Monoaromatics
2200.79_71.0846_NILU_2,CCCCCCCCCCCCCCCCCCCCCC,Docosane,1.0,Alkanes / Aliphatics
2248.96_186.1321_NILU_2,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,"Tributyl 2-(acetyloxy)propane-1,2,3-tricarboxylate",2.0,Fatty acid esters
2250.71_237.0987_NILU_2,CCCCCOC(=O)C1=CC(=CC=C1)C(=O)OCC(C)CC,"3-O-(2-methylbutyl) 1-O-pentyl benzene-1,3-dicarboxylate",2.0,Phthalates / Aromatic esters
2358.19_239.179_NILU_2,COC(=O)C1(C)CCCC2(C)C1CCC1=C2C=CC(=C1)C(C)C,"Methyl abieta-8,11,13-trien-18-oate",2.0,Fatty acid esters
2369.13_129.0569_NILU_2,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,bis(2-ethylhexyl) hexanedioate,2.0,Fatty acid esters
2538.6_149.0259_NILU_2,CCCC(CCC)COC(=O)C1=CC=CC=C1C(=O)OCC(CCC)CCC,"bis(2-propylpentyl) benzene-1,2-dicarboxylate",2.0,Phthalates / Aromatic esters
